from_address,reference-implementation
0x1337def1b1ae35314b40e5a4b70e216a499b0e37,ERC-897
0x8d235149a2948006bc59c2455ee6569e07de1f25,Customized
0x209ce666978779756ae1e747608cd93e4dff45fd,Customized
0x70a580e1fecd70e8cf745df743e3d5eb807e8e4a,Customized
0x716b88082ce52c97fb5aaead02bb7d333f74732f,ERC-1967
0xe716099c341e680a98ed49a6153a7e4260d8d8d1,ERC-897
0xa298d39715ae492e4caf3ccb33cbf57abc5238d7,ERC-1967
0x6d95680bfb16af25e7fdad2912391db57600dd7f,ERC-1167
0x4107b4734d7f11944576e7150f40cab5fa8a0b92,Customized
0xed6f47557e5d7a91caf55f82263ba20d2673cdec,ERC-897
0x7838e940473a5ad62535d25afc06a6bc5d7d41d6,ERC-1167
0x8cb0a54e8fd68f722828da19488970a73c7d4bae,Customized
0x7c5995cf2208e6bf0d76a7a845a9912347981be9,Customized
0x0b6205b4ab37767a7f0a7763d63b4c093aa18cc4,ERC-897
0x282fadf85ad6bf2ec2626d364eacc7b6b9ab7983,ERC-1967
0x3290822745a3597d55fe98ccb4cf94e005b7999d,ERC-1167
0x16310fa4d4540493b7a67a37967ba93c540c7c0d,ERC-897
0x96246a46548acf22bede63e4c328b325bc7fcc64,Customized
0xece0731756ab28e18c0c30b4c112501df5df81ec,ERC-1967
0x071eda61328a4f10227db3af6d31bbfe858c0821,ERC-1167
0x50e1c70b9495b951d1767410d0b8ca3407ff8561,ERC-897
0xb2189b1fe4c88a6442b6dfc5d49e9eb3391fabef,ERC-1967
0xb7097aba703d1f79843b343c90dd3c663268d09b,ERC-897
0xfb0debcd4f59561d7c4d7d96204584447cf5efbf,ERC-1967
0x8714d414d05e829e41e653da33c84b33b0b11b18,ERC-897
0xa7dd65742ef9808bfb8043c9b5591a89fa2d83ad,ERC-897
0x3f66867b4b6eceba0dbb6776be15619f73bc30a2,ERC-1967
0xd9c21028be5c4ad5227d40e75e9f11573a270875,ERC-1967
0x11dd0d4a92d34ae3cdcd56998d68884d225a9768,ERC-1967
0xce47a2e067f7f645d4ecc7a3d755c84d8f79fbcf,ERC-1167
0xdb67a8ac2c231e0a181ef8d808e01239e5d97f6b,ERC-1967
0x82045d4070a422b42bcf31ff2812b1272f4c16e8,ERC-1167
0xe8e0435d3c0774868ea6530e47e620777e9efefc,ERC-1167
0x29eccbfa28424729d0e364d117969f1543d594b8,Customized
0x0adf12ea3593008f67a33eee329a223fc97c5339,ERC-897
0x4cb94438ebe587f718b0cebae40882328dfbdbc3,Customized
0xc04086c5bacdcc1dda8ff805d28baa9ba0195e79,ERC-1167
0x1249dec0970c4b4faf048b93d978f8907b7b3f02,ERC-1167
0x5eabd8c0b0f4b95b46149d767b9c992e2e6ac0df,ERC-897
0xdece9ad603705034114f30f6d86b0a6c775ca9a8,ERC-1167
0xac99eeef792f66cd0c079bd30d9fa22469da8a5d,ERC-1167
0xa4d9f597d3ff9c2094976201de1cc6048f958985,Customized
0x2ac5702f0cb3db69025ecfc10e5b5ad716ebdf76,ERC-1967
0x29af2c4ff639d32e2a1e6109bd2e05cbb34e74bc,ERC-1967
0x6a7dc8248f6a643c37ad98c4e929b79b293406be,ERC-897
0x666bc216c5f3beb985a31edd300ee4cbba41d7d7,ERC-1167
0x956508410ec66573c2b005f4181ab6251b8a179f,Customized
0x4a4fce1ca279849a5d1727910b6c4cd815afe599,ERC-1967
0x118d986d6681e8ebf793711621a11f0b86e2d963,ERC-1967
0x275d5d1a8f887b63e7c6f6a5ca5f0b0af4826a62,ERC-897
0xd1df8836af6ed6ab7dcbbe3039250b938e3edeff,ERC-897
0x964a2e295ce2d59cc9251c3051aa64052643fb35,ERC-897
0x35d42c62d46f1ba7a008df4dd14176187f4b3626,ERC-1967
0x45e50c19849c02a97d0ec934feb767d15f3fecc2,Customized
0xdf88674a60d2fc71ce38b9ac2035c8199fcb34c5,Customized
0xf4d615d48108b40e9b3fbed265c7b8de4b6ab6c9,Customized
0x08b145035fba2e06ba218a75771ee410e69f771f,Customized
0xf29ff96aaea6c9a1fba851f74737f3c069d4f1a9,Customized
0x311608b33bf619be9f1c9da5b15dadb7e7800b63,ERC-1167
0xe22b848a293e991b0a00d96b79c719525d78ec9d,Customized
0x1e56e5a7a26509fb6e9b6cd1f787ba2eacc415d5,ERC-1167
0x9bb73be5e2cae66c9b747aeda93a78524c8a8e81,ERC-1967
0x244dbba4b49c2ce5bef0cdedcefcff5a53447e5d,Customized
0x588e3c5f6259dd1f903ad8f38168a18f8fb7edd6,ERC-1967
0xc2f1664311b4a253cc789361f4ee4ba85cb272fe,ERC-1167
0x06e2f80a1e94f4653eab38ccbefd7e43691e7bad,ERC-1967
