from_address,pattern,proxy-class
0x52b31e7e0c852c02bf649e25ce4ff2f5131f0b4b,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0x455c144f3670aa91ec037f62d37c2f960df7bb10,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0xbbaff745099019feaf6afd0a5c366ee89790ae7c,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0x87a9a2064974c3d50479ee0e102d984853581ca2,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0x71a05db3446249a44c715f3f862ed75d3bd6df48,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0x77e735a9c46ef3efb354b466cc173e6fdf8565e2,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0x90bb54f3017dac6a31d6c8ef4238518880f420de,"['EOA', 'FA', 'FA', 'FA', 'FA']",Upgradeable
0x7f6b24f898974cfbfc4f6abdeb62e151372a090e,"['EOA', 'FA', 'FA']",Forwarder
0x36719406cbccba0ecaa3cb87e321ee08b1a981a4,"['EOA', 'FA', 'FA']",Forwarder
0xbde1188043fefdbbc83758f33e8e2cbdaa3875ee,"['EOA', 'FA', 'FA']",Forwarder
0x018bc778de3eb392ae7f30fa90a3088acca6db51,"['EOA', 'FA', 'FA']",Forwarder
0xf7f9b78105af21fc35ef74b8bee982606fa9b8aa,"['EOA', 'FA', 'FA']",Forwarder
0x7594f62dc9b45b92dc911ebe4d4b6ae95a458268,"['EOA', 'FA', 'FA']",Forwarder
0x566545b82d207a5511354d6baa9acb9d7283f1e7,"['EOA', 'FA', 'FA']",Forwarder
0x63ea111c35f8b45be0976dee75c02e3410d29024,"['EOA', 'FA', 'FA']",Forwarder
0x790a894629e60d10a843ca05b1bac43624df71b7,"['EOA', 'FA', 'FA']",Forwarder
0xd33ba17c8a644c585089145e86e282fada6f3bfd,"['EOA', 'FA', 'FA']",Forwarder
0x3e8812ceb400ae9635acba4ccc4008ac2ed857f4,"['EOA', 'FA', 'FA']",Forwarder
0xc54b9ba94d53ef7928e71742154b7862bf46c6d6,"['EOA', 'FA', 'FA']",Forwarder
0xefccc9c043c1946a44abf240331c32c61d933fe9,"['EOA', 'FA', 'FA']",Forwarder
0x16f482038385d45e833431a3ffb8fce10e389ea3,"['EOA', 'FA', 'FA']",Forwarder
0x72f57569da789730c4fbcbcb5c2815780af69f20,"['EOA', 'FA', 'FA']",Upgradeable
0x912894db4556997454ff8cf92f0bea5b632db7d6,"['EOA', 'FA', 'FA']",Forwarder
0x2f806012025ca80f83dcade39e80708eefc43a0a,"['EOA', 'FA', 'FA']",Forwarder
0xf6a1360118703440a541c81f2ce6e47c211dda65,"['EOA', 'FA', 'FA']",Forwarder
0xb473efe2bb5cdc39ddf1c4b6eaccfee85e152490,"['EOA', 'FA', 'FA']",Forwarder
0xe7f85fe57df7222cffa76abd7233c6a033185f52,"['EOA', 'FA', 'FA']",Forwarder
0x06dda37f1d190d67963091b32392edcb5bad3733,"['EOA', 'FA', 'FA']",Upgradeable
0x4d8d3b0a2688dc9dabc67a57ad4c0de9eef81188,"['EOA', 'FA', 'FA']",Forwarder
0x23c70cd687c282820052d9d72bfd6e095609e778,"['EOA', 'FA', 'FA']",Forwarder
