from_address,pattern,proxy-class
0xe38c846a8a2727c67968d59d0a5caf01cae86212,"['EOA', 'FA']",Forwarder
0x45d70a0601032a9092eb8bf0b28b395cd789228d,['EOA'],Forwarder
0x7af9e00d74c117bc2a0063bb54c067808e615f86,['EOA'],Upgradeable
0xbeff0f8e5f212d3fb6d65d4da7058585c3021806,['EOA'],Upgradeable
0x92343c1183f5978dd5c091e26e8c3c16aa19105d,"['EOA', 'FA', 'P']",Upgradeable
0x3a6db095a41cfa24b9ca42b4e040f9532ff031ac,"['EOA', 'FA', 'P']",Forwarder
0x07458a1c8f239a7f834de090fe4ce990d5c87a3f,['EOA'],Upgradeable
0xc5bcd962c3617954c838428487561763b3dfb3ed,"['EOA', 'FA']",Forwarder
0xa63636e10a2e60da17dee38a94e34ff8195350b2,"['EOA', 'FA']",Forwarder
0xb2b42d3435da0bede5dfe80541a248fbd008b007,"['EOA', 'FA']",Forwarder
0x59f1d6901ab6261d06d3fc26d04d378aac4cc1d4,"['EOA', 'FA']",Forwarder
0x58a5258845d901f28081cbbf1fe96b0415543399,"['EOA', 'FA']",Forwarder
0x7f39527461afef37ab4d2ac461dfcb517bc0d4ae,"['EOA', 'FA']",Forwarder
0x639c53f894c74725e93d53347ca2057d290d43bf,['EOA'],Forwarder
0xce2d596f4a498e23c51231904a091f7204c82f1f,"['EOA', 'FA']",Forwarder
0xa7c0ecc82623b7d218c3d15f44ab588ef228ad4b,"['EOA', 'FA']",Forwarder
0xd12056eaa788e086018e3e13f4bce5941e9fa999,"['EOA', 'FA', 'FA']",Forwarder
0xaa2e8819e90e8e820dad637e938c2c56e0163532,"['EOA', 'FA', 'P']",Upgradeable
0x000000000000deab340f067535869a0e5226e58a,['EOA'],Upgradeable
0xc96d42d19e1b9598a6db0b28127a6feb391cfe70,['EOA'],Forwarder
0xc2d6f83810b49e6f98e4c4c42018df4abc94b85c,['EOA'],Forwarder
0xfd7eea107df33d9322c05b8956aed4a5697595b8,"['EOA', 'FA']",Forwarder
0x73309a76722365652a99c79f7b53674113cf3c90,"['EOA', 'FA']",Forwarder
0x93cb48b62651076d5a267e289c15146a3d7c2eff,['EOA'],Upgradeable
0xd4ceee03f3718c9f99dd1fb47b156eda8e31b397,"['EOA', 'FA']",Forwarder
0xe88093230a2b27b1cafe55cd8e6a686af9710b11,['EOA'],Forwarder
0xf4aa40be09de07badf85b9897728f271f7b98574,"['EOA', 'FA']",Upgradeable
0x05e61cd5db2180cca9f31c17c61c934e010e84db,"['EOA', 'FA']",Forwarder
0x7246d8c85e0540d5bb9caaadf0de406c59af5586,"['EOA', 'FA']",Forwarder
0xf3cb03cc6ca2dbb7cd497b282f1ac6b651476c62,"['EOA', 'FA']",Forwarder
0x9a57d981ac7abab8e232e20d052347fdf8236914,['EOA'],Forwarder
0xaff7e60cad458a3aa86e03c6246bccd6cce9c62c,"['EOA', 'FA']",Forwarder
0x16d8cc45c2de5b2f7e51285cd8d330631831f52b,['EOA'],Forwarder
0x08fe6f12a05309b9cf6d57f45c8b8f749eda1a8e,['EOA'],Upgradeable
0x054b09e4c9ac5d4ba7a6f24592b703e660d253d3,"['EOA', 'FA', 'P']",Upgradeable
0x39559fca823e0ffe0b197ad4dec195a58c875092,['EOA'],Forwarder
0xdbfb47a68d5e8f9c1c8b7eeb4e0d5d434b88dbac,['EOA'],Upgradeable
0xec07114252848918467cdfdd7e2101b089dfad6b,['EOA'],Forwarder
0xa9c84c1298d65868e0aab39918484ae8fddb9999,"['EOA', 'FA', 'P']",Upgradeable
0xe3559a643f39c7ba86faaaa5676961132620b21c,"['EOA', 'FA']",Forwarder
0xe10484fa4760a7bb196b5d4ef83703e9c158c221,"['EOA', 'FA']",Forwarder
0x34f3c739fda443997b5b2cac9cb42e448b28d45d,['EOA'],Forwarder
